song, artist         num_plays
After We Ride, Brave Girls          26
Perfect World, TWICE          26
Likey, TWICE          26
Ring Ring, Rocket Punch          26
Better Than Gold, NCT DREAM          26
Show, inLu          26
Back 2 U (AM 01:27), NCT 127          26
Maroon, Taylor Swift          26
Sweet Nothing, Taylor Swift          26
Generation, tripleS          26
RING ma Bell (what a wonderful world), Billlie          25
Snow On The Beach (feat. Lana Del Rey), Taylor Swift          25
Karma, Taylor Swift          25
Mastermind, Taylor Swift          25
Loveable, JO YURI          25
PITAPAT (DKDK), fromis_9          24
Like a Cat, AOA          24
Lavender Haze, Taylor Swift          24
Question...?, Taylor Swift          24
Snake, Medusa          23
Fire Saturday, SECRET NUMBER          23
La Vie en Rose, IZ*ONE          23
Heart Attack, AOA          23
UNNATURAL, WJSN          23
I Like That, SISTAR          23
You're On Your Own, Kid, Taylor Swift          23
Midnight Rain, Taylor Swift          23
Vigilante Shit, Taylor Swift          23
HUSH RUSH, LEE CHAE YEON          23
MONEY, LISA          22
Bon Bon Chocolat, EVERGLOW          22
Hold On, I.O.I          22
Dun Dun Dance, OH MY GIRL          22
Holiday Party, Weeekly          22
Pose, Red Velvet          22
Ipnotizzato Dal Rumore Bianco, Passeggiate Al Chiaro          22
Mr.Mr., Girls' Generation          22
Umpah Umpah, Red Velvet          21
%%(Eung Eung), Apink          21
Panorama, IZ*ONE          21
Hot Pink, EXID          21
SHAKE IT, SISTAR          21
Meow, lvusm          21
Bejeweled, Taylor Swift          21
VIVACE, LIGHTSUM          20
Levitating, Dua Lipa          20
good 4 u, Olivia Rodrigo          20
Don't fight the feeling, EXO          20
변했어, Brave Girls          20
RBB (Really Bad Boy), Red Velvet          20
Glass Shoes, fromis_9          20
MORE & MORE, TWICE          20
Super Yuppers!, WJSN Chocome          20
ALL OR NOTHING, NAYEON          20
Signal, TWICE          19
Weekend, TAEYEON          19
Naughty, Red Velvet - IRENE & SEULGI          19
Tag Me (@Me), Weeekly          19
Short Hair, AOA          19
U+Me=LOVE, 7 LOVE Minutes          18
Me & You, EXID          18
Q&A, Cherry Bullet          18
In the morning, ITZY          18
Hoot, Girls' Generation          18
FIESTA, IZ*ONE          18
Picky Picky, Weki Meki          18
Dumb Dumb, Red Velvet          18
I Love You, EXID          18
Butterflies, Red Velvet          18
We Together, IZ*ONE          18
Forever Young, BLACKPINK          18
Red Flavor, Red Velvet          18
Ending Credits, TAEYEON          18
Running in the Night, FM-84          18
The Great War, Taylor Swift          18
XOXO, JEON SOMI          17
FIRST, EVERGLOW          17
BOY, TREASURE          17
하이힐, Brave Girls          17
First Love, After School          17
4 Walls, f(x)          17
Feel Special, TWICE          17
BAAM, MOMOLAND          17
Gotta Go, CHUNG HA          17
Oh! my mistake, APRIL          17
Lady, EXID          17
MIROH, Stray Kids          17
Falling for U, Peachy!          17
Dance The Night Away, TWICE          16
Adios, EVERGLOW          16
O.O.O (Over&Over&Over), Girls Planet 999          16
Milky Way, BoA          16
5th Season (SSFWL), OH MY GIRL          16
BBIBBI, IU          16
Look, GOT7          16
The Boots, gugudan          16
Ring My Bell, Girl's Day          16
여자 대통령, Girl's Day          16
As You Wish, WJSN          16
WEE WOO, PRISTIN          16
RUMOR, KARD          15
Vanilla, LIGHTSUM          15
Kiss Me More (feat. SZA), Doja Cat          15
Oh My!, SEVENTEEN          15
After School, Weeekly          15
ME, CLC          15
Mamma Mia, KARA          15
Siren, SUNMI          15
Something New, TAEYEON          15
BBoom BBoom, MOMOLAND          15
BUTTERFLY, WJSN          15
Summer by myself, Brave Girls          15
Paris, Taylor Swift          15
Glitch, Taylor Swift          15
LO$ER=LO♡ER, TOMORROW X TOGETHER          14
TT, TWICE          14
Genie, Girls' Generation          14
Happy, TAEYEON          14
My Copycat, Orange Caramel          14
DDU-DU DDU-DU, BLACKPINK          14
Crush, Weki Meki          14
See You Again, The Promise          14
Sunny Summer, GFRIEND          14
Bingle Bangle, AOA          14
기대해, Girl's Day          14
Wild, 9MUSES          14
Knock Knock, TWICE          14
Whatta Man (Good man), I.O.I          14
LIPSTICK, Orange Caramel          14
I CAN'T STOP ME, TWICE          14
Would've, Could've, Should've, Taylor Swift          14
Dear Reader, Taylor Swift          14
Bigger Than The Whole Sky, Taylor Swift          14
High Infidelity, Taylor Swift          14
Whoo, RAINBOW          13
Knock On Wood, Red Velvet          13
Catch Me If You Can - Korean Version, Girls' Generation          13
Mr. Chu, Apink          13
View, SHINee          13
Catallena, Orange Caramel          13
Thank U Soooo Much, Yubin          13
WooWoo, DIA          13
SOLO, JENNIE          13
Lil’ Touch, Girls' Generation-Oh!GG          13
Remember Me, OH MY GIRL          13
Something, Girl's Day          13
Hellovenus 5th Single `위글위글`, HELLOVENUS          13
Nonstop, OH MY GIRL          13
Palette (feat. G-DRAGON), IU          13
Very Very Very, I.O.I          13
Like Ooh-Ahh, TWICE          13
Ice Cream Cake, Red Velvet          13
All Mine, f(x)          13
SNEAKERS, ITZY          13
What is Love, TWICE          12
