artist         num_plays
MKTO          15
Patrick Doyle          15
Hailee Steinfeld          15
AOA CREAM          15
Madonna          15
Norah Jones          15
88rising          14
BOL4          14
Cassie          14
Santana          14
Icona Pop          14
Imagine Dragons          13
Cheat Codes          13
Japan Ground Self Defense Force Central Band          13
Desired          13
Kevin Rudolf          13
Lea Salonga          13
Stella Jang          13
Christina Milian          13
Mandy Moore          13
CeeLo Green          13
Meghan Trainor          12
GHOST DATA          12
Adriana Caselotti          12
Michael Giacchino          12
Fat Joe          12
Robin Schulz          12
Coldplay          12
Tennyson          12
Jessica          12
오전 1:00          12
HYOYEON          12
bugAboo          12
Whee In          12
Bing Crosby          12
OneRepublic          12
Lady A          11
Wolfgang Amadeus Mozart          11
Hot Chelle Rae          11
Ray J          11
Chancellor          11
Richard M. Sherman          11
Ruel          11
Bell Biv DeVoe          11
Shakira          11
Baby Bash          11
Galantis          11
One Direction          11
Risso          10
SURAN          10
Stacie Orrico          10
Tiffany Young          10
Sultan of the Disco          10
Avicii          10
Spice Girls          10
La Roux          10
50 Cent          10
Kylie Minogue          10
L'Orchestra Cinematique          10
ZICO          10
Outkast          10
3OH!3          10
Backstreet Boys          9
Kristen Bell          9
Jesse McCartney          9
リアムMAZE1981          9
The Disney Afternoon Studio Chorus          9
Orita Nobotta          9
Camille Saint-Saëns          9
Bruce Healey          9
Elton John          9
Crush          9
Liam Payne          9
NCT U          9
Michael Jackson          9
Joe Hisaishi          8
Bowling For Soup          8
10cm          8
Park Kyung          8
Daft Punk          8
AKMU          8
Jhené Aiko          8
Lil Nas X          8
Glee Cast          8
Ashley Tisdale          8
BTOB          8
Kidz Bop Kids          8
daigoro789          8
Nat King Cole          8
Billie Eilish          8
Randy Newman          8
Jonas Blue          8
Jerry Goldsmith          8
The Kid LAROI          8
WENDY          8
GAYLE          8
J_ust          7
SF9          7
Miranda Cosgrove          7
Angela Lansbury          7
Vanessa Carlton          7
Robert MacGimsey          7
Fitz and The Tantrums          7
SOYOU          7
Hey Monday          7
LABOUM          7
Sia          7
Monsta X          7
Auli'i Cravalho          7
Enrique Iglesias          7
Gotye          6
Bella Thorne          6
Adam Hicks          6
ed leigh          6
Us The Duo          6
The Dwarf Chorus          6
Cheryl Freeman          6
Ilene Woods          6
Glass Animals          6
Anika Noni Rose          6
Train          6
Johann Sebastian Bach          6
Audra McDonald          6
James Arthur          6
HUMMING URBAN STEREO          6
Eminence Symphony Orchestra          6
Josh Gad          6
Jonas Brothers          6
Brad Kane          6
Metro Station          6
Disney Channel Stars          6
Dick Van Dyke          6
Halsey          6
Wiz Khalifa          6
Hilary Duff          6
Opetaia Foa'i          6
Twenty One Pilots          6
DAYBREAK          6
Frank Sinatra          6
Tim McGraw          6
Kehlani          6
Daughtry          6
Julie Andrews          6
Lilly Ahlberg          6
T-Pain          6
JOGON          5
Sean Paul          5
Pink Sweat$          5
gnash          5
Kanye West          5
Edward Maya          5
Zara Larsson          5
Harry Styles          5
Samuel E. Wright          5
Rita Ora          5
The All-American Rejects          5
TAEMIN          5
UP10TION          5
TAEYANG          5
Henry          5
Friday Night Plans          5
Gabe Bondoc          5
Beast          5
Paige O'Hara          5
Alexandra Stan          5
Alessia Cara          5
Disney Studio Chorus          5
